name,lat,lon,elev_m,prominence_m
Pidurutalagala,7.000939,80.773509,2520.7,2520.7
Gombaniya,7.454268,80.750947,1893.0,1412.3
,6.436057,80.57661,1375.8,1125.1
Namunukula,6.932724,81.113143,2033.3,1022.6
,6.877652,81.387812,1109.3,928.6
Kabaragala,7.07031,80.502483,1508.1,847.4
Kiribathgala,6.612916,80.517394,944.7,794.0
,6.653113,80.625363,1522.5,761.8
,7.605874,80.577741,1206.4,745.7
Brandigala,7.490036,80.581328,1247.5,736.8
Sri Paadaya Peak,6.809596,80.499376,2190.0,689.3
,7.019761,81.173758,1510.7,670.0
Narangala,7.035606,81.010572,1565.7,665.0
,6.331968,80.299527,659.7,659.7
Udaperuwahela,7.263927,81.407065,865.0,654.3
,7.193407,80.405434,880.8,620.1
,6.600602,80.361674,926.1,615.4
,7.311035,81.263401,862.6,611.9
,6.968482,80.37249,941.6,610.9
,7.432147,80.41475,786.0,605.3
,7.774383,80.710672,880.3,599.6
,7.443084,81.508147,592.5,592.5
Ritigala,8.109406,80.656719,756.3,585.6
,7.165885,80.802301,1518.5,557.8
,7.380997,81.48712,676.8,556.1
Kirigalpotta,6.799094,80.766454,2380.4,549.7
Wadinagala Summit,7.099097,81.518181,667.8,547.1
,7.41662,81.208891,685.4,544.7
,7.04501,80.402566,1304.9,544.2
,6.81017,80.221176,539.6,539.6
,7.859681,81.144861,532.1,532.1
Peacock Hill,7.085289,80.632016,1499.4,528.7
,7.748866,80.641863,868.2,527.5
,7.48616,81.102679,677.2,526.5
Nayabedde Peak,6.804461,81.017244,1952.7,522.0
,6.663451,80.264213,682.2,511.5
Mountain Peak Kalubovitiyana,6.32826,80.410975,731.6,510.9
,6.769509,80.659524,2048.6,497.9
,7.263223,81.321759,756.0,495.3
,6.251592,80.637412,825.5,494.8
Dolukanda,7.612548,80.411609,623.8,493.1
,6.831099,80.684752,2076.9,486.2
Alagalla,7.296816,80.470558,1006.8,486.1
,6.792797,81.341566,656.6,485.9
,6.275865,80.364106,478.1,478.1
,7.124246,81.387046,664.8,474.1
,7.865267,80.734055,681.3,470.6
,7.290016,81.372326,720.0,469.3
,7.025523,80.464222,1333.5,462.8
,6.693701,81.133328,651.2,460.5
,6.763518,80.587877,2052.2,451.5
,6.477226,80.445587,881.4,450.7
,7.077679,81.312034,719.2,448.5
,6.962378,81.316789,718.9,448.2
,7.28742,80.844693,1328.6,447.9
,7.137917,80.928869,1193.3,442.6
,7.328811,81.549529,612.5,441.8
,6.971056,80.581279,1720.9,440.2
,7.444571,81.424442,540.4,439.7
,7.490588,80.604432,1208.5,437.8
,6.612976,80.692118,967.7,437.0
Galgiriya Mountain,7.93453,80.381128,567.7,437.0
,7.147393,80.979664,785.2,434.5
,6.317454,80.483108,834.7,434.0
,7.606941,80.542394,673.9,433.2
,6.450202,80.249514,432.8,432.8
,7.15062,81.036977,849.4,428.7
,7.490803,80.495975,816.4,425.7
,6.80194,80.409814,969.0,418.3
,7.82782,80.680195,618.6,417.9
,7.573774,80.43611,557.0,416.3
Dumbaanagala,7.383184,80.855578,1626.7,416.0
,7.079711,80.373481,966.6,415.9
,6.125594,80.401628,413.7,413.7
,7.148937,80.431817,1113.5,412.8
,7.81097,80.587983,613.2,412.5
,6.945026,80.245453,412.2,412.2
,7.63357,81.278169,511.8,411.1
,6.97515,80.255465,410.4,410.4
,6.912623,80.405658,720.0,409.3
Govinda Hela,7.031774,81.547941,509.6,408.9
,7.010955,80.251896,408.6,408.6
,7.025575,81.326637,688.0,407.3
,7.199617,81.182605,670.1,399.4
,6.875966,81.431512,555.0,394.3
,7.345091,81.368051,654.6,393.9
,6.882724,81.448894,540.2,389.5
Hunnasgiriya,7.387253,80.699588,1499.8,389.1
,7.039512,81.456177,557.9,387.2
Arangala,7.696778,80.638888,746.9,376.2
,7.232621,81.481453,496.2,375.5
Yakunnehela Summit,7.208407,81.336362,606.1,375.4
,6.99219,81.341803,672.7,372.0
,6.474029,80.552726,1241.6,370.9
,6.555963,80.557844,681.4,370.7
,7.390634,80.407446,701.3,370.6
,7.466203,80.820529,1550.9,370.2
,7.164793,80.858256,790.3,369.6
,6.976663,81.128108,1499.5,368.8
Yaka Netu Hela,7.4112,81.427111,477.9,367.2
,7.411119,80.888196,1494.7,364.0
,7.387719,80.503922,613.9,363.2
,7.115306,80.444335,1262.4,361.7
,6.404184,80.360208,580.1,359.4
,6.707146,81.27173,549.2,358.5
,6.929483,80.460756,1048.2,357.5
,6.793692,81.266932,643.3,352.6
,6.944382,81.573588,442.5,351.8
,7.551928,80.71125,1381.2,350.5
Ambuluwaawa,7.161217,80.547246,1068.2,347.5
,6.615786,80.350809,846.5,345.8
,6.813363,80.450247,1555.0,344.3
Mahabaliaula,7.346829,81.479458,594.5,343.8
,7.737969,80.536611,630.6,339.9
,7.104042,81.478811,560.2,339.5
,6.542331,80.436592,689.8,339.1
,6.759463,80.242131,489.5,338.8
Hantana 1,7.227991,80.638491,1307.4,336.7
,7.119783,81.634991,437.3,336.6
Wedasitikanda,6.386687,81.335955,416.1,335.4
,6.827745,80.172844,456.0,335.3
Lakegala,7.465116,80.840371,1245.2,334.5
Knuckles,7.400823,80.810739,1854.4,333.7
,7.731238,80.890182,502.7,332.0
Dell Hill,6.886163,80.645922,1882.6,331.9
Iharakanda,6.527988,80.494923,762.3,331.6
,6.210889,80.613295,742.0,331.3
,7.455444,81.576655,331.2,331.2
,6.679879,80.43894,480.8,330.1
,7.198706,80.702065,1339.8,329.1
Yakdessagala,7.583166,80.322731,458.4,327.7
,7.604862,81.235994,428.0,327.3
,6.71455,81.434821,436.9,326.2
,6.435984,80.438291,736.2,325.5
,7.538607,80.606316,916.1,325.4
,7.264901,81.278565,596.0,325.3
,7.340595,80.28032,416.0,325.3
,6.676263,81.461631,435.8,325.1
,7.100073,81.161605,1505.5,324.8
,7.320236,80.893335,1113.7,323.0
,6.304503,80.670207,713.7,323.0
,6.451017,80.758867,503.7,323.0
,7.117574,81.296871,542.9,322.2
,7.088007,80.903324,1391.9,321.2
,8.442283,80.771593,411.7,321.0
,6.728423,80.41394,571.4,320.7
,7.542565,81.551262,319.8,319.8
,6.285186,80.514578,719.8,319.1
,7.246863,81.13266,598.4,317.7
Thunkadulla,6.602608,80.196995,317.6,317.6
,7.450083,81.539956,317.4,317.4
,6.218047,80.325656,315.3,315.3
,6.837239,80.453217,1525.7,315.0
,7.574238,80.127271,313.4,313.4
Patanagala,7.548946,80.729465,1503.1,312.4
Rajagala,7.490081,81.621564,312.1,312.1
,6.545508,80.33622,561.8,311.1
,7.282292,81.251416,661.7,311.0
,7.810015,80.38315,441.2,310.5
Inginiyagala Summit,7.219783,81.536304,310.2,310.2
,6.96908,80.443353,850.6,309.9
,6.145974,80.45176,309.4,309.4
,7.064629,80.217348,409.3,308.6
,7.279505,81.317704,699.1,308.4
,6.947629,80.418119,698.9,308.2
Thoppikanda,6.665834,80.547214,918.8,308.1
Bible Rock,7.189903,80.433959,788.7,308.0
,6.440218,80.30458,397.7,307.0
Bulupitihela Summit,7.183957,81.364038,497.6,306.9
,7.508986,81.51777,385.0,304.3
,6.244655,80.351118,474.9,304.2
Thuduvila,7.644577,81.368999,304.0,304.0
,6.659035,80.196386,304.0,304.0
,6.669989,80.291611,424.0,303.3
,7.492843,81.433755,383.7,303.0
,7.735784,81.325068,382.1,301.4
,6.354422,80.664773,992.0,301.3
,7.05743,81.218868,1041.5,300.8
,7.099076,81.034503,919.8,299.1
,6.842058,80.36934,599.8,299.1
,7.607962,80.443425,449.1,298.4
Opalgala,7.589093,80.705263,1309.0,298.3
Hakgala Peak,6.917921,80.811789,2166.4,295.7
,7.076086,80.733316,2126.3,295.6
,7.276287,81.487226,426.1,295.4
,6.65337,80.967515,635.5,294.8
,6.080318,80.449903,293.6,293.6
,6.737573,81.461174,424.1,293.4
,7.77276,80.764256,513.8,293.1
Nilgala Summit,7.174725,81.370545,493.0,292.3
,6.87853,81.005065,1472.9,292.2
Kotagala,6.895379,80.619858,1742.8,292.1
,7.763988,81.331632,372.6,291.9
,6.785255,80.260286,391.5,290.8
,6.626699,80.429752,287.8,287.8
Mahakudugala,7.043256,80.844113,2098.1,287.4
,7.404021,81.004511,387.8,287.1
,6.89395,80.182533,397.6,286.9
,7.056482,81.534405,417.2,286.5
,7.825661,80.766975,565.6,284.9
,6.446589,80.477882,845.2,284.5
Gongala,6.38589,80.653918,1355.1,284.4
,7.748439,81.393893,283.5,283.5
,6.588922,80.100163,281.5,281.5
Gorikana Mountain,7.465212,81.407078,391.7,281.0
Katupotha Kanda,8.329077,80.518561,391.5,280.8
,6.640594,81.024489,561.3,280.6
,7.532669,80.733544,1470.7,280.0
,7.301532,80.794972,940.2,279.5
,6.776322,81.274242,480.0,279.3
,6.50635,81.526223,278.9,278.9
,6.267433,80.338085,469.5,278.8
,6.849593,80.302289,379.4,278.7
,6.44464,80.401671,688.9,278.2
,7.606179,80.874651,528.8,278.1
,6.520559,80.347906,538.5,277.8
,6.849398,80.386706,738.4,277.7
,7.076353,81.491261,538.4,277.7
,7.167847,81.60792,277.3,277.3
,7.318873,80.916703,1107.1,276.4
,7.252656,80.974006,617.0,276.3
,7.039818,80.357494,816.7,276.0
,6.672478,80.342077,275.8,275.8
Maha Seethala Wanniya,7.481412,81.458743,466.4,275.7
Saptha Kanya 7,6.883658,80.498519,1566.0,275.3
Maningala,7.524261,80.774593,1095.5,274.8
,6.592001,80.174219,274.8,274.8
